Year,Gear,Flag,Fleet,SpeciesName,Catch
2023,T,US,MP,SKJ,35
2023,T,US,MP,YFT,9
2023,R,PH,,BET,416
2023,R,PH,,SKJ,19118
2023,R,PH,,YFT,5438
2023,R,PH,,BUM,60
2023,R,PH,,BLM,60
2023,T,CK,,BET,1
2023,T,CK,,SKJ,15
2023,T,CK,,YFT,184
2023,K,PH,,ALB,138
2023,K,PH,,BET,1452
2023,K,PH,,SKJ,15815
2023,K,PH,,YFT,26881
2023,O,TK,,BET,1
2023,O,TK,,SKJ,25
2023,O,TK,,YFT,24
2023,G,VN,,ALB,185
2023,G,VN,,BET,60
2023,G,VN,,SKJ,12171
2023,G,VN,,YFT,214
2023,G,VN,,SWO,176
2023,K,ID,,BET,14980
2023,K,ID,,SKJ,54783
2023,K,ID,,YFT,90490
2023,G,ID,,BET,3201
2023,G,ID,,SKJ,18744
2023,G,ID,,YFT,2142
2023,G,ID,,BUM,3
2023,G,ID,,BLM,121
2023,G,ID,,SWO,12
2023,G,ID,,SFA,567
2023,G,ID,,FAL,12
2023,R,TW,,SKJ,4510
1950,O,ID,,SKJ,2645
1950,O,ID,,YFT,625
1950,O,PH,,SKJ,2782
1950,O,PH,,YFT,2314
1951,O,ID,,SKJ,2854
1951,O,ID,,YFT,693
1951,O,JP,,SKJ,1676
1951,O,PH,,SKJ,2927
1951,O,PH,,YFT,2363
1952,O,ID,,SKJ,3079
1952,O,ID,,YFT,768
1952,O,JP,,ALB,237
1952,O,JP,,SKJ,2614
1952,O,PH,,SKJ,3080
1952,O,PH,,YFT,2414
1953,O,ID,,SKJ,3322
1953,O,ID,,YFT,852
1953,O,JP,,ALB,132
1953,O,JP,,SKJ,3495
1953,O,PH,,SKJ,3241
1953,O,PH,,YFT,2466
1954,O,ID,,SKJ,3584
1954,O,ID,,YFT,945
1954,O,JP,,ALB,38
1954,O,JP,,SKJ,3101
1954,O,PH,,SKJ,3411
1954,O,PH,,YFT,2519
1955,O,ID,,SKJ,3867
1955,O,ID,,YFT,1048
1955,O,JP,,ALB,136
1955,O,JP,,SKJ,3626
1955,O,PH,,SKJ,3590
1955,O,PH,,YFT,2574
1956,O,ID,,SKJ,4173
1956,O,ID,,YFT,1162
1956,O,JP,,ALB,57
1956,O,JP,,SKJ,3428
1956,O,PH,,SKJ,3779
1956,O,PH,,YFT,2630
1957,O,ID,,SKJ,4503
1957,O,ID,,YFT,1289
1957,O,JP,,ALB,151
1957,O,JP,,SKJ,1616
1957,O,PH,,SKJ,3978
1957,O,PH,,YFT,2687
1958,O,ID,,SKJ,4859
1958,O,ID,,YFT,1429
1958,O,JP,,ALB,124
1958,O,JP,,SKJ,4184
1958,O,PH,,SKJ,4187
1958,O,PH,,YFT,2746
1959,O,ID,,SKJ,5243
1959,O,ID,,YFT,1585
1959,O,JP,,ALB,67
1959,O,JP,,SKJ,3019
1959,O,PH,,SKJ,4408
1959,O,PH,,YFT,2808
1960,O,ID,,SKJ,5657
1960,O,ID,,YFT,1758
1960,O,JP,,ALB,76
1960,O,JP,,SKJ,3119
1960,O,PH,,SKJ,4640
1960,O,PH,,YFT,2871
1961,O,ID,,SKJ,6104
1961,O,ID,,YFT,1950
1961,O,JP,,ALB,268
1961,O,JP,,SKJ,4479
1961,O,PH,,SKJ,4884
1961,O,PH,,YFT,2936
1962,O,ID,,SKJ,6586
1962,O,ID,,YFT,2163
1962,O,JP,,ALB,191
1962,O,JP,,SKJ,3050
1962,O,PH,,SKJ,5142
1962,O,PH,,YFT,3003
1963,O,ID,,SKJ,7106
1963,O,ID,,YFT,2399
1963,O,JP,,ALB,218
1963,O,JP,,SKJ,2820
1963,O,PH,,SKJ,5413
1963,O,PH,,YFT,3071
1964,O,ID,,SKJ,7667
1964,O,ID,,YFT,2660
1964,O,JP,,ALB,319
1964,O,JP,,BET,28
1964,O,JP,,SKJ,4120
1964,O,JP,,YFT,867
1964,O,JP,,PBF,3350
1964,O,JP,,BUM,38
1964,O,JP,,MLS,2364
1964,O,JP,,SWO,1156
1964,O,PH,,SKJ,5699
1964,O,PH,,YFT,3141
1965,O,ID,,SKJ,8273
1965,O,ID,,YFT,2950
1965,O,JP,,ALB,121
1965,O,JP,,BET,30
1965,O,JP,,SKJ,2770
1965,O,JP,,YFT,464
1965,O,JP,,PBF,3175
1965,O,JP,,BUM,65
1965,O,JP,,MLS,2789
1965,O,JP,,SWO,2072
1965,O,PH,,SKJ,6000
1965,O,PH,,YFT,3213
1966,O,ID,,SKJ,8927
1966,O,ID,,YFT,3271
1966,O,JP,,ALB,585
1966,O,JP,,BET,86
1966,O,JP,,SKJ,3801
1966,O,JP,,YFT,1662
1966,O,JP,,PBF,1348
1966,O,JP,,BUM,88
1966,O,JP,,MLS,1674
1966,O,JP,,SWO,1885
1966,O,PH,,SKJ,6317
1966,O,PH,,YFT,3287
1967,O,ID,,SKJ,9632
1967,O,ID,,YFT,3628
1967,O,JP,,ALB,520
1967,O,JP,,BET,253
1967,O,JP,,SKJ,4466
1967,O,JP,,YFT,3204
1967,O,JP,,PBF,2866
1967,O,JP,,BUM,128
1967,O,JP,,MLS,1638
1967,O,JP,,SWO,1109
1967,O,PH,,SKJ,6651
1967,O,PH,,YFT,3363
1967,T,NZ,,ALB,5
1968,O,ID,,SKJ,10393
1968,O,ID,,YFT,4024
1968,O,JP,,ALB,1109
1968,O,JP,,BET,204
1968,O,JP,,SKJ,3017
1968,O,JP,,YFT,1519
1968,O,JP,,PBF,3269
1968,O,JP,,BUM,77
1968,O,JP,,MLS,1252
1968,O,JP,,SWO,1828
1968,O,PH,,SKJ,7003
1968,O,PH,,YFT,3441
1968,T,NZ,,ALB,14
1969,O,ID,,SKJ,11214
1969,O,ID,,YFT,4463
1969,O,JP,,ALB,959
1969,O,JP,,BET,62
1969,O,JP,,SKJ,6587
1969,O,JP,,YFT,534
1969,O,JP,,PBF,2349
1969,O,JP,,BUM,207
1969,O,JP,,MLS,2622
1969,O,JP,,SWO,1615
1969,O,PH,,SKJ,7374
1969,O,PH,,YFT,3521
1970,O,ID,,BET,550
1970,O,ID,,SKJ,12100
1970,O,ID,,YFT,4950
1970,O,JP,,ALB,517
1970,O,JP,,BET,46
1970,O,JP,,SKJ,6651
1970,O,JP,,YFT,1278
1970,O,JP,,PBF,1940
1970,O,JP,,BUM,55
1970,O,JP,,MLS,1181
1970,O,JP,,SWO,1828
1970,O,PH,,BET,400
1970,O,PH,,SKJ,7765
1970,O,PH,,YFT,3604
1970,O,TW,,BET,2
1970,O,TW,,SKJ,322
1970,O,TW,,YFT,406
1970,R,PH,,BET,166
1970,R,PH,,SKJ,3051
1970,R,PH,,YFT,1511
1970,R,PH,,BUM,12
1970,R,PH,,BLM,12
1970,T,NZ,,ALB,50
1971,O,ID,,BET,570
1971,O,ID,,SKJ,12400
1971,O,ID,,YFT,5130
1971,O,JP,,ALB,359
1971,O,JP,,BET,21
1971,O,JP,,SKJ,2269
1971,O,JP,,YFT,226
1971,O,JP,,PBF,1837
1971,O,JP,,BUM,56
1971,O,JP,,MLS,2274
1971,O,JP,,SWO,541
1971,O,PH,,BET,448
1971,O,PH,,SKJ,8309
1971,O,PH,,YFT,4032
1971,O,TW,,SKJ,466
1971,O,TW,,YFT,363
1971,R,PH,,BET,186
1971,R,PH,,SKJ,3265
1971,R,PH,,YFT,1690
1971,R,PH,,BUM,13
1971,R,PH,,BLM,13
1972,O,ID,,BET,900
1972,O,ID,,SKJ,19600
1972,O,ID,,YFT,8100
1972,O,JP,,ALB,644
1972,O,JP,,BET,19
1972,O,JP,,SKJ,6139
1972,O,JP,,YFT,839
1972,O,JP,,PBF,1265
1972,O,JP,,BUM,59
1972,O,JP,,MLS,1126
1972,O,JP,,SWO,303
1972,O,PH,,BET,466
1972,O,PH,,SKJ,9123
1972,O,PH,,YFT,4188
1972,O,TW,,BET,15
1972,O,TW,,SKJ,582
1972,O,TW,,YFT,331
1972,R,PH,,BET,193
1972,R,PH,,SKJ,3585
1972,R,PH,,YFT,1757
1972,R,PH,,BUM,14
1972,R,PH,,BLM,14
1972,T,NZ,,ALB,268
1973,O,ID,,BET,1020
1973,O,ID,,SKJ,22300
1973,O,ID,,YFT,9180
1973,O,JP,,ALB,530
1973,O,JP,,BET,52
1973,O,JP,,SKJ,9888
1973,O,JP,,YFT,422
1973,O,JP,,PBF,2678
1973,O,JP,,BUM,113
1973,O,JP,,MLS,746
1973,O,JP,,SWO,159
1973,O,PH,,BET,557
1973,O,PH,,SKJ,10250
1973,O,PH,,YFT,5011
1973,O,TW,,BET,74
1973,O,TW,,SKJ,536
1973,O,TW,,YFT,441
1973,R,PH,,BET,231
1973,R,PH,,SKJ,4028
1973,R,PH,,YFT,2102
1973,R,PH,,BUM,16
1973,R,PH,,BLM,16
1973,T,NZ,,ALB,484
1974,O,ID,,BET,1017
1974,O,ID,,SKJ,23613
1974,O,ID,,YFT,9149
1974,O,JP,,ALB,904
1974,O,JP,,BET,67
1974,O,JP,,SKJ,5936
1974,O,JP,,YFT,676
1974,O,JP,,PBF,6439
1974,O,JP,,BUM,107
1974,O,JP,,MLS,818
1974,O,JP,,SWO,376
1974,O,NZ,,YFT,1
1974,O,PH,,BET,647
1974,O,PH,,SKJ,11436
1974,O,PH,,YFT,5825
1974,O,TW,,BET,39
1974,O,TW,,SKJ,442
1974,O,TW,,YFT,334
1974,R,PH,,BET,268
1974,R,PH,,SKJ,4494
1974,R,PH,,YFT,2444
1974,R,PH,,BUM,18
1974,R,PH,,BLM,18
1974,T,NZ,,ALB,898
1975,O,ID,,BET,1106
1975,O,ID,,SKJ,23316
1975,O,ID,,YFT,9956
1975,O,JP,,ALB,243
1975,O,JP,,BET,72
1975,O,JP,,SKJ,5211
1975,O,JP,,YFT,560
1975,O,JP,,PBF,2565
1975,O,JP,,BUM,230
1975,O,JP,,MLS,721
1975,O,JP,,SWO,289
1975,O,NZ,,YFT,1
1975,O,PH,,BET,660
1975,O,PH,,SKJ,12290
1975,O,PH,,YFT,5947
1975,O,TW,,BET,1
1975,O,TW,,SKJ,533
1975,O,TW,,YFT,426
1975,R,PH,,BET,274
1975,R,PH,,SKJ,4830
1975,R,PH,,YFT,2493
1975,R,PH,,BUM,19
1975,R,PH,,BLM,19
1975,T,NZ,,ALB,646
1976,O,ID,,BET,753
1976,O,ID,,SKJ,25338
1976,O,ID,,YFT,6777
1976,O,JP,,ALB,285
1976,O,JP,,BET,81
1976,O,JP,,SKJ,6240
1976,O,JP,,YFT,820
1976,O,JP,,PBF,3148
1976,O,JP,,BUM,526
1976,O,JP,,MLS,602
1976,O,JP,,SWO,557
1976,O,PH,,BET,557
1976,O,PH,,SKJ,10693
1976,O,PH,,YFT,5008
1976,O,TW,,BET,64
1976,O,TW,,SKJ,521
1976,O,TW,,YFT,1359
1976,R,PH,,BET,231
1976,R,PH,,SKJ,4891
1976,R,PH,,YFT,2100
1976,R,PH,,BUM,18
1976,R,PH,,BLM,18
1976,T,NZ,,ALB,25
1977,O,ID,,BET,1027
1977,O,ID,,SKJ,26376
1977,O,ID,,YFT,9241
1977,O,JP,,ALB,370
1977,O,JP,,BET,149
1977,O,JP,,SKJ,5472
1977,O,JP,,YFT,520
1977,O,JP,,PBF,2425
1977,O,JP,,BUM,326
1977,O,JP,,MLS,556
1977,O,JP,,SWO,326
1977,O,PH,,BET,789
1977,O,PH,,SKJ,18478
1977,O,PH,,YFT,7102
1977,O,TW,,BET,68
1977,O,TW,,SKJ,945
1977,O,TW,,YFT,428
1977,R,PH,,BET,327
1977,R,PH,,SKJ,4765
1977,R,PH,,YFT,2978
1977,R,PH,,BUM,20
1977,R,PH,,BLM,20
1977,T,NZ,,ALB,621
1978,O,ID,,BET,823
1978,O,ID,,SKJ,29422
1978,O,ID,,YFT,7403
1978,O,JP,,ALB,2094
1978,O,JP,,BET,294
1978,O,JP,,SKJ,8311
1978,O,JP,,YFT,520
1978,O,JP,,PBF,2793
1978,O,JP,,BUM,579
1978,O,JP,,MLS,442
1978,O,JP,,SWO,300
1978,O,NZ,,YFT,15
1978,O,PH,,BET,683
1978,O,PH,,SKJ,19303
1978,O,PH,,YFT,6145
1978,O,TW,,BET,48
1978,O,TW,,SKJ,1422
1978,O,TW,,YFT,1517
1978,R,PH,,BET,100
1978,R,PH,,SKJ,7585
1978,R,PH,,YFT,910
1978,R,PH,,BUM,21
1978,R,PH,,BLM,21
1978,T,NZ,,ALB,1686
1979,O,ID,,BET,1148
1979,O,ID,,SKJ,36310
1979,O,ID,,YFT,10334
1979,O,JP,,ALB,1155
1979,O,JP,,BET,182
1979,O,JP,,SKJ,7536
1979,O,JP,,YFT,1373
1979,O,JP,,PBF,5447
1979,O,JP,,BUM,427
1979,O,JP,,MLS,526
1979,O,JP,,SWO,283
1979,O,NZ,,YFT,16
1979,O,PH,,BET,404
1979,O,PH,,SKJ,4946
1979,O,PH,,YFT,3632
1979,O,TW,,BET,13
1979,O,TW,,SKJ,940
1979,O,TW,,YFT,1743
1979,R,PH,,BET,351
1979,R,PH,,SKJ,5702
1979,R,PH,,YFT,3190
1979,R,PH,,BUM,23
1979,R,PH,,BLM,23
1979,T,NZ,,ALB,814
1980,O,ID,,BET,684
1980,O,ID,,SKJ,11181
1980,O,ID,,YFT,6140
1980,O,JP,,ALB,1187
1980,O,JP,,BET,67
1980,O,JP,,SKJ,7553
1980,O,JP,,YFT,793
1980,O,JP,,PBF,2995
1980,O,JP,,BUM,259
1980,O,JP,,MLS,541
1980,O,JP,,SWO,468
1980,O,KI,,YFT,1812
1980,O,NZ,,YFT,51
1980,O,PH,,BET,345
1980,O,PH,,SKJ,4889
1980,O,PH,,YFT,3107
1980,O,TW,,BET,7
1980,O,TW,,SKJ,956
1980,O,TW,,YFT,901
1980,R,PH,,BET,423
1980,R,PH,,SKJ,3351
1980,R,PH,,YFT,3852
1980,R,PH,,BUM,19
1980,R,PH,,BLM,19
1980,T,US,GU,SKJ,12
1980,T,US,GU,YFT,9
1980,T,NZ,,ALB,1468
1981,O,AU,,ALB,5
1981,O,ID,,BET,905
1981,O,ID,,SKJ,11539
1981,O,ID,,YFT,8124
1981,O,JP,,ALB,707
1981,O,JP,,BET,41
1981,O,JP,,SKJ,5137
1981,O,JP,,YFT,550
1981,O,JP,,PBF,2652
1981,O,JP,,BUM,317
1981,O,JP,,MLS,544
1981,O,JP,,SWO,250
1981,O,KI,,YFT,1812
1981,O,NZ,,YFT,26
1981,O,PH,,BET,413
1981,O,PH,,SKJ,4862
1981,O,PH,,YFT,3709
1981,O,TW,,BET,1
1981,O,TW,,SKJ,1112
1981,O,TW,,YFT,634
1981,R,PH,,BET,380
1981,R,PH,,SKJ,4683
1981,R,PH,,YFT,3459
1981,R,PH,,BUM,21
1981,R,PH,,BLM,21
1981,T,US,GU,SKJ,17
1981,T,US,GU,YFT,16
1981,T,NZ,,ALB,2085
1982,O,AU,,ALB,6
1982,O,ID,,BET,1006
1982,O,ID,,SKJ,12317
1982,O,ID,,YFT,9031
1982,O,JP,,ALB,493
1982,O,JP,,BET,52
1982,O,JP,,SKJ,7396
1982,O,JP,,YFT,475
1982,O,JP,,PBF,1799
1982,O,JP,,BUM,392
1982,O,JP,,MLS,646
1982,O,JP,,SWO,291
1982,O,KI,,YFT,1812
1982,O,NZ,,YFT,2
1982,O,PH,,BET,262
1982,O,PH,,SKJ,11842
1982,O,PH,,YFT,2350
1982,O,TW,,SKJ,437
1982,O,TW,,YFT,565
1982,R,PH,,BET,137
1982,R,PH,,SKJ,4081
1982,R,PH,,YFT,1251
1982,R,PH,,BUM,14
1982,R,PH,,BLM,14
1982,T,US,AS,SKJ,7
1982,T,US,AS,YFT,3
1982,T,US,GU,SKJ,57
1982,T,US,GU,YFT,51
1982,T,US,GU,BUM,9
1982,T,NZ,,ALB,2434
1983,G,JP,,ALB,6884
1983,G,JP,,BET,87
1983,G,JP,,SKJ,4427
1983,G,JP,,YFT,43
1983,G,JP,,PBF,807
1983,G,JP,,BUM,931
1983,G,JP,,MLS,1867
1983,G,JP,,SWO,1033
1983,O,AU,,ALB,7
1983,O,ID,,BET,908
1983,O,ID,,SKJ,16277
1983,O,ID,,YFT,8050
1983,O,JP,,ALB,121
1983,O,JP,,BET,47
1983,O,JP,,SKJ,7911
1983,O,JP,,YFT,454
1983,O,JP,,PBF,1281
1983,O,JP,,BUM,524
1983,O,JP,,MLS,800
1983,O,JP,,SWO,249
1983,O,KI,,YFT,1812
1983,O,NZ,,YFT,1
1983,O,PH,,BET,538
1983,O,PH,,SKJ,6751
1983,O,PH,,YFT,4841
1983,O,TW,,BET,5
1983,O,TW,,SKJ,931
1983,O,TW,,YFT,317
1983,R,PH,,BET,333
1983,R,PH,,SKJ,4210
1983,R,PH,,YFT,3028
1983,R,PH,,BUM,19
1983,R,PH,,BLM,19
1983,T,US,AS,SKJ,27
1983,T,US,AS,YFT,9
1983,T,US,AS,BUM,1
1983,O,FJ,,YFT,3
1983,T,US,GU,SKJ,43
1983,T,US,GU,YFT,29
1983,T,US,GU,BUM,13
1983,T,US,MP,SKJ,84
1983,T,US,MP,YFT,10
1983,T,US,MP,BUM,1
1983,T,NZ,,ALB,744
1984,G,JP,,ALB,10569
1984,G,JP,,BET,84
1984,G,JP,,SKJ,5823
1984,G,JP,,YFT,105
1984,G,JP,,PBF,532
1984,G,JP,,BUM,243
1984,G,JP,,MLS,2333
1984,G,JP,,SWO,1053
1984,H,ID,,BET,88
1984,H,ID,,YFT,2759
1984,H,ID,,BUM,191
1984,H,ID,,BLM,12
1984,H,ID,,SWO,7
1984,O,AU,,ALB,8
1984,O,ID,,BET,1374
1984,O,ID,,SKJ,13741
1984,O,ID,,YFT,12366
1984,O,JP,,ALB,518
1984,O,JP,,BET,48
1984,O,JP,,SKJ,8128
1984,O,JP,,YFT,671
1984,O,JP,,PBF,2570
1984,O,JP,,BUM,409
1984,O,JP,,MLS,727
1984,O,JP,,SWO,261
1984,O,KI,,YFT,1812
1984,O,NZ,,YFT,2
1984,O,PH,,BET,365
1984,O,PH,,SKJ,2072
1984,O,PH,,YFT,3282
1984,O,TW,,SKJ,535
1984,O,TW,,YFT,1037
1984,R,PH,,BET,422
1984,R,PH,,SKJ,8538
1984,R,PH,,YFT,3839
1984,R,PH,,BUM,32
1984,R,PH,,BLM,32
1984,T,US,AS,SKJ,53
1984,T,US,AS,YFT,27
1984,T,US,AS,BUM,3
1984,T,US,GU,SKJ,98
1984,T,US,GU,YFT,31
1984,T,US,GU,BUM,22
1984,T,US,MP,SKJ,133
1984,T,US,MP,YFT,9
1984,T,US,MP,BUM,1
1984,T,NZ,,ALB,2773
1985,G,JP,,ALB,13132
1985,G,JP,,BET,117
1985,G,JP,,SKJ,2366
1985,G,JP,,YFT,51
1985,G,JP,,PBF,728
1985,G,JP,,BUM,408
1985,G,JP,,MLS,2363
1985,G,JP,,SWO,1133
1985,H,ID,,BET,96
1985,H,ID,,YFT,3003
1985,H,ID,,BUM,216
1985,H,ID,,BLM,14
1985,H,ID,,SWO,8
1985,O,AU,,ALB,9
1985,O,ID,,BET,1585
1985,O,ID,,SKJ,14178
1985,O,ID,,YFT,14148
1985,O,JP,,ALB,407
1985,O,JP,,BET,101
1985,O,JP,,SKJ,5116
1985,O,JP,,YFT,602
1985,O,JP,,PBF,3009
1985,O,JP,,BUM,486
1985,O,JP,,MLS,753
1985,O,JP,,SWO,285
1985,O,KI,,YFT,1812
1985,O,NZ,,YFT,1
1985,O,PH,,BET,538
1985,O,PH,,SKJ,6712
1985,O,PH,,YFT,4840
1985,O,TW,,BET,70
1985,O,TW,,SKJ,776
1985,O,TW,,YFT,825
1985,R,PH,,BET,615
1985,R,PH,,SKJ,14303
1985,R,PH,,YFT,5595
1985,R,PH,,BUM,51
1985,R,PH,,BLM,51
1985,T,US,AS,SKJ,18
1985,T,US,AS,YFT,18
1985,T,US,AS,BUM,1
1985,O,FJ,,YFT,3
1985,T,US,GU,SKJ,48
1985,T,US,GU,YFT,42
1985,T,US,GU,BUM,24
1985,T,US,MP,SKJ,80
1985,T,US,MP,YFT,6
1985,T,US,MP,BUM,1
1985,T,NZ,,ALB,3253
1986,G,JP,,ALB,9749
1986,G,JP,,BET,150
1986,G,JP,,SKJ,6611
1986,G,JP,,YFT,55
1986,G,JP,,PBF,316
1986,G,JP,,BUM,178
1986,G,JP,,MLS,3584
1986,G,JP,,SWO,1264
1986,H,ID,,BET,100
1986,H,ID,,YFT,3127
1986,H,ID,,BUM,233
1986,H,ID,,BLM,15
1986,H,ID,,SWO,9
1986,O,AU,,ALB,10
1986,O,ID,,BET,2055
1986,O,ID,,SKJ,10712
1986,O,ID,,YFT,18373
1986,O,JP,,ALB,655
1986,O,JP,,BET,87
1986,O,JP,,SKJ,9271
1986,O,JP,,YFT,621
1986,O,JP,,PBF,3317
1986,O,JP,,BUM,472
1986,O,JP,,MLS,597
1986,O,JP,,SWO,244
1986,O,KI,,YFT,1812
1986,O,NZ,,YFT,7
1986,O,PH,,BET,332
1986,O,PH,,SKJ,5370
1986,O,PH,,YFT,2988
1986,O,TW,,BET,20
1986,O,TW,,SKJ,756
1986,O,TW,,YFT,847
1986,R,PH,,BET,490
1986,R,PH,,SKJ,18343
1986,R,PH,,YFT,4461
1986,R,PH,,BUM,58
1986,R,PH,,BLM,58
1986,T,US,GU,SKJ,62
1986,T,US,GU,YFT,23
1986,T,US,GU,BUM,2
1986,O,FJ,,SKJ,8
1986,O,FJ,,YFT,6
1986,T,US,AS,SKJ,34
1986,T,US,AS,YFT,25
1986,T,US,AS,BUM,25
1986,T,US,MP,SKJ,115
1986,T,US,MP,YFT,8
1986,T,US,MP,BUM,1
1986,T,NZ,,ALB,1911
1986,T,US,,ALB,92
1987,G,JP,,ALB,7617
1987,G,JP,,BET,83
1987,G,JP,,SKJ,6430
1987,G,JP,,YFT,43
1987,G,JP,,PBF,258
1987,G,JP,,BUM,256
1987,G,JP,,MLS,1888
1987,G,JP,,SWO,1051
1987,H,ID,,BET,113
1987,H,ID,,YFT,3553
1987,H,ID,,BUM,237
1987,H,ID,,BLM,15
1987,H,ID,,SWO,9
1987,O,AU,,ALB,11
1987,O,ID,,BET,2300
1987,O,ID,,SKJ,12491
1987,O,ID,,YFT,20594
1987,O,JP,,ALB,189
1987,O,JP,,BET,90
1987,O,JP,,SKJ,6042
1987,O,JP,,YFT,920
1987,O,JP,,PBF,2385
1987,O,JP,,BUM,367
1987,O,JP,,MLS,511
1987,O,JP,,SWO,172
1987,O,KI,,YFT,1812
1987,O,NZ,,YFT,7
1987,O,PH,,BET,354
1987,O,PH,,SKJ,6105
1987,O,PH,,YFT,3187
1987,O,TW,,BET,52
1987,O,TW,,SKJ,966
1987,O,TW,,YFT,3066
1987,R,PH,,BET,289
1987,R,PH,,SKJ,11873
1987,R,PH,,YFT,2627
1987,R,PH,,BUM,37
1987,R,PH,,BLM,37
1987,T,US,GU,SKJ,53
1987,T,US,GU,YFT,12
1987,O,FJ,,SKJ,14
1987,O,FJ,,YFT,13
1987,T,US,AS,SKJ,27
1987,T,US,AS,YFT,18
1987,T,US,AS,BUM,21
1987,T,US,MP,SKJ,74
1987,T,US,MP,YFT,5
1987,T,US,MP,BUM,1
1987,T,NZ,,ALB,1256
1987,T,US,,ALB,878
1988,G,JP,,ALB,13345
1988,G,JP,,BET,89
1988,G,JP,,SKJ,9742
1988,G,JP,,YFT,84
1988,G,JP,,PBF,371
1988,G,JP,,BUM,368
1988,G,JP,,MLS,2211
1988,G,JP,,SWO,1234
1988,G,TW,,ALB,1000
1988,H,ID,,BET,134
1988,H,ID,,YFT,4199
1988,H,ID,,BUM,246
1988,H,ID,,BLM,16
1988,H,ID,,SWO,9
1988,O,AU,,ALB,12
1988,O,ID,,BET,2718
1988,O,ID,,SKJ,14595
1988,O,ID,,YFT,24507
1988,O,JP,,ALB,177
1988,O,JP,,BET,171
1988,O,JP,,SKJ,8657
1988,O,JP,,YFT,1262
1988,O,JP,,PBF,970
1988,O,JP,,BUM,343
1988,O,JP,,MLS,669
1988,O,JP,,SWO,206
1988,O,KI,,YFT,1812
1988,O,NZ,,YFT,5
1988,O,PH,,BET,352
1988,O,PH,,SKJ,4631
1988,O,PH,,YFT,3167
1988,O,TW,,BET,181
1988,O,TW,,SKJ,552
1988,O,TW,,YFT,3583
1988,R,PH,,BET,399
1988,R,PH,,SKJ,9006
1988,R,PH,,YFT,3633
1988,R,PH,,BUM,33
1988,R,PH,,BLM,33
1988,T,US,AS,SKJ,69
1988,T,US,AS,YFT,22
1988,T,US,AS,BUM,5
1988,T,CA,,ALB,235
1988,O,FJ,,SKJ,13
1988,O,FJ,,YFT,9
1988,T,US,GU,SKJ,96
1988,T,US,GU,YFT,37
1988,T,US,GU,BUM,28
1988,T,US,MP,SKJ,121
1988,T,US,MP,YFT,8
1988,T,NZ,,ALB,405
1988,T,US,,ALB,3656
1989,G,JP,,ALB,14695
1989,G,JP,,BET,240
1989,G,JP,,SKJ,8367
1989,G,JP,,YFT,136
1989,G,JP,,PBF,173
1989,G,JP,,BUM,300
