SpeciesCode,Year,Flag,GearCode,Catch
MAW,1951,Ghana,UNCL,0
FRI,1951,Venezuela,SURF,1200
BRS,1951,Venezuela,SURF,3000
SWO,1951,Mexico,LL,0
BLF,1951,EU-France,UNCL,300
BON,1951,EU-France,UNCL,0
CER,1951,EU-France,UNCL,0
LTA,1951,Angola,SURF,500
SKJ,1951,Angola,BB,0
BON,1951,Angola,SURF,800
FRI,1951,Angola,SURF,2600
MAW,1951,Angola,BB,0
TUN,1951,EU-France,UNCL,400
CER,1951,EU-France,UNCL,100
TUN,1951,Israel,UNCL,100
BON,1951,EU-Bulgaria,UNCL,0
BFT,1952,Algerie,TRAP,100
BON,1952,Algerie,UNCL,0
BON,1952,Argentina,PS,0
SKJ,1952,Brazil,BB,0
BON,1952,Brazil,UNCL,0
BFT,1952,Canada,HARPE,299
BFT,1952,Canada,RRFB,69
SWO,1952,Canada,HARP,1890
BLF,1952,Cuba,UNCL,0
SKJ,1952,Cuba,BB,1229
SSM,1952,Cuba,UNCL,0
SWO,1952,Cuba,LL,0
BFT,1952,EU-France,GILL,966
BFT,1952,EU-France,BB,2362
ALB,1952,EU-France,TROL,14220
BFT,1952,EU-Greece,HAND,400
BON,1952,EU-Greece,UNCL,200
BFT,1952,EU-Italy,PSFB,722
BON,1952,EU-Italy,UNCL,0
BFT,1952,Libya,TRAP,900
BFT,1952,EU-Malta,UNCL,100
ALB,1952,EU-Malta,UNCL,0
BON,1952,Maroc,SURF,2200
BOP,1952,Maroc,SURF,100
SWO,1952,Maroc,TRAP,0
BET,1952,EU-Portugal,BB,1496
BET,1952,EU-Portugal,BB,522
SKJ,1952,EU-Portugal,BB,484
SKJ,1952,EU-Portugal,BB,97
TUN,1952,EU-Portugal,TRAP,52
TUN,1952,EU-Portugal,SURF,1085
ALB,1952,South Africa,UNCL,0
ALB,1952,EU-España,TROL,18177
LTA,1952,EU-España,TRAP,3
BON,1952,EU-España,TRAP,91
SWO,1952,EU-España,LLSWO,966
SWO,1952,EU-España,LLSWO,337
BFT,1952,Türkiye,TRAP,0
BON,1952,Türkiye,UNCL,0
BFT,1952,USA,LL,5
BFT,1952,USA,TRAP,135
BFT,1952,USA,TRAW,11
BFT,1952,USA,HARP,24
BFT,1952,USA,HAND,83
BFT,1952,USA,GILL,0
BFT,1952,USA,RRFB,1
BFT,1952,USA,LL-B,2
YFT,1952,USA,HAND,187
LTA,1952,USA,TROL,3
LTA,1952,USA,TRAP,334
LTA,1952,USA,TRAW,1
LTA,1952,USA,HAND,1
BON,1952,USA,TROL,6
BON,1952,USA,TRAP,25
BON,1952,USA,TRAW,0
BON,1952,USA,HAND,2
BON,1952,USA,GILL,0
BON,1952,USA,HS,1
SSM,1952,USA,TROL,28
SSM,1952,USA,TRAP,25
SSM,1952,USA,TRAW,0
SSM,1952,USA,HAND,61
SSM,1952,USA,GILL,3422
SSM,1952,USA,HS,89
SSM,1952,USA,TN,62
KGM,1952,USA,TROL,824
KGM,1952,USA,TRAW,5
KGM,1952,USA,HAND,234
KGM,1952,USA,GILL,1
SAI,1952,USA,RR,0
BUM,1952,USA,RR,0
WHM,1952,USA,RR,0
SWO,1952,USA,TRAW,0
SWO,1952,USA,HARP,137
SWO,1952,USA,HAND,0
BFT,1952,Yugoslavia Fed,PS,279
LTA,1952,Yugoslavia Fed,PS,11
BON,1952,Yugoslavia Fed,PS,36
LTA,1952,Ghana,UNCL,0
FRI,1952,Ghana,UNCL,0
SWO,1952,Ghana,GILL,0
MAW,1952,Ghana,UNCL,0
FRI,1952,Venezuela,SURF,1200
BRS,1952,Venezuela,SURF,3000
SWO,1952,Mexico,LL,0
BLF,1952,EU-France,UNCL,300
BON,1952,EU-France,UNCL,0
CER,1952,EU-France,UNCL,0
LTA,1952,Angola,SURF,2200
SKJ,1952,Angola,BB,0
BON,1952,Angola,SURF,1100
FRI,1952,Angola,SURF,700
MAW,1952,Angola,BB,0
TUN,1952,EU-France,UNCL,400
CER,1952,EU-France,UNCL,100
TUN,1952,Israel,UNCL,100
BON,1952,EU-Bulgaria,UNCL,0
BFT,1953,Algerie,TRAP,98
BON,1953,Algerie,UNCL,0
BON,1953,Argentina,PS,0
SKJ,1953,Brazil,BB,0
BON,1953,Brazil,UNCL,0
BFT,1953,Canada,HARPE,172
BFT,1953,Canada,RRFB,29
SWO,1953,Canada,HARP,1990
BLF,1953,Cuba,UNCL,0
SKJ,1953,Cuba,BB,1281
SSM,1953,Cuba,UNCL,0
SWO,1953,Cuba,LL,0
BFT,1953,EU-France,GILL,899
BFT,1953,EU-France,BB,2364
BFT,1953,EU-Greece,HAND,800
BON,1953,EU-Greece,UNCL,500
BFT,1953,EU-Italy,PSFB,423
BON,1953,EU-Italy,UNCL,0
BFT,1953,Libya,TRAP,1700
BFT,1953,EU-Malta,UNCL,100
ALB,1953,EU-Malta,UNCL,0
BON,1953,Maroc,SURF,4000
BOP,1953,Maroc,SURF,400
SWO,1953,Maroc,TRAP,0
BET,1953,EU-Portugal,BB,1734
BET,1953,EU-Portugal,BB,1217
SKJ,1953,EU-Portugal,BB,561
SKJ,1953,EU-Portugal,BB,225
TUN,1953,EU-Portugal,TRAP,20
TUN,1953,EU-Portugal,SURF,596
ALB,1953,South Africa,UNCL,0
ALB,1953,EU-España,TROL,13050
ALB,1953,EU-España,BB,3875
LTA,1953,EU-España,TRAP,4
LTA,1953,EU-España,TRAP,38
BON,1953,EU-España,TRAP,2
BON,1953,EU-España,TRAP,274
FRI,1953,EU-España,TRAP,198
SWO,1953,EU-España,LLSWO,1203
BFT,1953,Türkiye,TRAP,0
BON,1953,Türkiye,UNCL,6000
BFT,1953,USA,LL,1
BFT,1953,USA,TRAP,766
BFT,1953,USA,TRAW,1
BFT,1953,USA,HARP,25
BFT,1953,USA,HAND,85
BFT,1953,USA,RRFB,0
BFT,1953,USA,RRFS,5
BFT,1953,USA,LL-B,0
LTA,1953,USA,TROL,2
LTA,1953,USA,TRAP,29
LTA,1953,USA,GILL,0
BON,1953,USA,PS,1
BON,1953,USA,TROL,48
BON,1953,USA,TRAP,22
BON,1953,USA,TRAW,4
BON,1953,USA,HAND,3
BON,1953,USA,GILL,6
BON,1953,USA,HS,0
FRI,1953,USA,TRAP,0
SSM,1953,USA,TROL,62
SSM,1953,USA,TRAP,21
SSM,1953,USA,TRAW,11
SSM,1953,USA,HAND,71
SSM,1953,USA,GILL,2732
SSM,1953,USA,HS,132
SSM,1953,USA,TN,51
KGM,1953,USA,TROL,1004
KGM,1953,USA,TRAW,5
KGM,1953,USA,HAND,148
KGM,1953,USA,GILL,20
KGM,1953,USA,HS,0
SAI,1953,USA,RR,0
BUM,1953,USA,RR,0
WHM,1953,USA,RR,0
SWO,1953,USA,TRAW,0
SWO,1953,USA,HARP,110
BFT,1953,Yugoslavia Fed,PS,588
LTA,1953,Yugoslavia Fed,PS,6
BON,1953,Yugoslavia Fed,PS,21
LTA,1953,Ghana,UNCL,0
FRI,1953,Ghana,UNCL,0
SWO,1953,Ghana,GILL,0
MAW,1953,Ghana,UNCL,0
FRI,1953,Venezuela,SURF,1200
BRS,1953,Venezuela,SURF,2900
SWO,1953,Mexico,LL,0
BLF,1953,EU-France,UNCL,300
BON,1953,EU-France,UNCL,0
CER,1953,EU-France,UNCL,0
LTA,1953,Angola,SURF,3300
SKJ,1953,Angola,BB,0
BON,1953,Angola,SURF,400
FRI,1953,Angola,SURF,8400
MAW,1953,Angola,BB,0
TUN,1953,EU-France,UNCL,400
CER,1953,EU-France,UNCL,100
TUN,1953,Israel,UNCL,200
BON,1953,EU-Bulgaria,UNCL,0
BFT,1954,Algerie,TRAP,62
BON,1954,Algerie,UNCL,0
BON,1954,Argentina,PS,300
SKJ,1954,Brazil,BB,0
BON,1954,Brazil,UNCL,0
BFT,1954,Canada,HARPE,126
BFT,1954,Canada,RRFB,49
SWO,1954,Canada,HARP,2573
BLF,1954,Cuba,UNCL,0
SKJ,1954,Cuba,BB,1370
SSM,1954,Cuba,UNCL,0
SWO,1954,Cuba,LL,0
BFT,1954,EU-France,GILL,798
BFT,1954,EU-France,BB,3451
BFT,1954,EU-Greece,HAND,600
BON,1954,EU-Greece,UNCL,3400
BFT,1954,EU-Italy,PSFB,263
BON,1954,EU-Italy,UNCL,0
BFT,1954,Libya,TRAP,1200
BFT,1954,EU-Malta,UNCL,100
BON,1954,Maroc,SURF,1400
BOP,1954,Maroc,SURF,400
SWO,1954,Maroc,TRAP,0
BET,1954,EU-Portugal,BB,1286
BET,1954,EU-Portugal,BB,1646
SKJ,1954,EU-Portugal,BB,416
SKJ,1954,EU-Portugal,BB,304
TUN,1954,EU-Portugal,TRAP,21
TUN,1954,EU-Portugal,SURF,350
ALB,1954,South Africa,UNCL,0
ALB,1954,EU-España,TROL,19091
ALB,1954,EU-España,BB,7250
LTA,1954,EU-España,TRAP,3
LTA,1954,EU-España,TRAP,4
BON,1954,EU-España,TRAP,3
BON,1954,EU-España,TRAP,296
FRI,1954,EU-España,TRAP,134
SWO,1954,EU-España,LLSWO,305
SWO,1954,EU-España,LLSWO,452
BFT,1954,Türkiye,TRAP,0
BON,1954,Türkiye,UNCL,14700
BFT,1954,USA,PS,55
BFT,1954,USA,TRAP,531
BFT,1954,USA,TRAW,0
BFT,1954,USA,HARP,3
BFT,1954,USA,HAND,44
BFT,1954,USA,GILL,1
BFT,1954,USA,RRFB,1
BFT,1954,USA,RRFS,13
YFT,1954,USA,TRAW,7
LTA,1954,USA,TROL,1
LTA,1954,USA,TRAP,30
LTA,1954,USA,GILL,2
LTA,1954,USA,HS,0
BON,1954,USA,PS,4
BON,1954,USA,TROL,12
BON,1954,USA,TRAP,99
BON,1954,USA,TRAW,1
BON,1954,USA,HAND,7
BON,1954,USA,GILL,9
BON,1954,USA,HS,2
BON,1954,USA,TN,0
SSM,1954,USA,TROL,63
SSM,1954,USA,TRAP,86
SSM,1954,USA,TRAW,0
SSM,1954,USA,HAND,101
SSM,1954,USA,GILL,2027
SSM,1954,USA,HS,56
SSM,1954,USA,TN,81
KGM,1954,USA,PS,0
KGM,1954,USA,TROL,550
KGM,1954,USA,TRAW,0
KGM,1954,USA,HAND,225
KGM,1954,USA,GILL,134
SAI,1954,USA,RR,0
BUM,1954,USA,RR,0
WHM,1954,USA,RR,0
SWO,1954,USA,HARP,156
BFT,1954,Yugoslavia Fed,PS,654
LTA,1954,Yugoslavia Fed,PS,126
BON,1954,Yugoslavia Fed,PS,40
LTA,1954,Ghana,UNCL,0
FRI,1954,Ghana,UNCL,0
SWO,1954,Ghana,GILL,0
MAW,1954,Ghana,UNCL,0
FRI,1954,Venezuela,SURF,1300
BRS,1954,Venezuela,SURF,3200
SWO,1954,Mexico,LL,0
BLF,1954,EU-France,UNCL,400
BON,1954,EU-France,UNCL,0
CER,1954,EU-France,UNCL,0
LTA,1954,Angola,SURF,4900
SKJ,1954,Angola,BB,0
BON,1954,Angola,SURF,200
FRI,1954,Angola,SURF,7300
MAW,1954,Angola,BB,0
TUN,1954,EU-France,UNCL,400
CER,1954,EU-France,UNCL,100
TUN,1954,Israel,UNCL,200
BON,1954,EU-Bulgaria,UNCL,0
BFT,1955,Algerie,TRAP,98
BON,1955,Algerie,UNCL,0
BON,1955,Argentina,PS,0
SKJ,1955,Brazil,BB,0
BON,1955,Brazil,UNCL,0
BFT,1955,Canada,HARPE,124
BFT,1955,Canada,RRFB,9
SWO,1955,Canada,HARP,2722
BLF,1955,Cuba,UNCL,0
SKJ,1955,Cuba,BB,1396
SSM,1955,Cuba,UNCL,0
SWO,1955,Cuba,LL,0
BFT,1955,EU-France,GILL,783
BFT,1955,EU-France,BB,3031
YFT,1955,EU-France,BB,200
BFT,1955,EU-Greece,HAND,1200
BON,1955,EU-Greece,UNCL,6600
BFT,1955,EU-Italy,PSFB,296
BON,1955,EU-Italy,UNCL,0
BFT,1955,Libya,TRAP,1200
BFT,1955,EU-Malta,UNCL,100
BON,1955,Maroc,SURF,4000
BOP,1955,Maroc,SURF,400
SWO,1955,Maroc,TRAP,0
BET,1955,EU-Portugal,BB,2193
BET,1955,EU-Portugal,BB,2615
SKJ,1955,EU-Portugal,BB,709
SKJ,1955,EU-Portugal,BB,483
TUN,1955,EU-Portugal,TRAP,22
TUN,1955,EU-Portugal,SURF,774
ALB,1955,South Africa,UNCL,0
ALB,1955,EU-España,TROL,13679
ALB,1955,EU-España,BB,3125
LTA,1955,EU-España,TRAP,1
LTA,1955,EU-España,TRAP,9
BON,1955,EU-España,TRAP,3
BON,1955,EU-España,TRAP,296
FRI,1955,EU-España,TRAP,165
SWO,1955,EU-España,LLSWO,619
SWO,1955,EU-España,LLSWO,340
BFT,1955,Türkiye,TRAP,0
BON,1955,Türkiye,UNCL,49000
BFT,1955,USA,LL,5
BFT,1955,USA,PS,0
BFT,1955,USA,TRAP,377
BFT,1955,USA,TRAW,0
BFT,1955,USA,HARP,11
BFT,1955,USA,HAND,8
BFT,1955,USA,GILL,0
BFT,1955,USA,RRFB,6
BFT,1955,USA,RRFS,4
LTA,1955,USA,TROL,1
LTA,1955,USA,TRAP,44
LTA,1955,USA,TRAW,0
LTA,1955,USA,HAND,2
LTA,1955,USA,GILL,1
LTA,1955,USA,HS,1
BON,1955,USA,PS,1
BON,1955,USA,TROL,8
BON,1955,USA,TRAP,37
BON,1955,USA,TRAW,0
BON,1955,USA,HAND,5
BON,1955,USA,GILL,14
BON,1955,USA,HS,2
SSM,1955,USA,TROL,130
SSM,1955,USA,TRAP,24
SSM,1955,USA,HAND,58
SSM,1955,USA,GILL,1858
SSM,1955,USA,HS,60
SSM,1955,USA,TN,154
KGM,1955,USA,TROL,924
KGM,1955,USA,TRAP,2
KGM,1955,USA,TRAW,3
KGM,1955,USA,HAND,225
KGM,1955,USA,GILL,21
KGM,1955,USA,HS,1
KGM,1955,USA,TN,2
SAI,1955,USA,RR,0
BUM,1955,USA,RR,0
WHM,1955,USA,RR,0
SWO,1955,USA,HARP,161
BFT,1955,Yugoslavia Fed,PS,346
LTA,1955,Yugoslavia Fed,PS,47
BON,1955,Yugoslavia Fed,PS,311
LTA,1955,Ghana,UNCL,0
FRI,1955,Ghana,UNCL,0
SWO,1955,Ghana,GILL,0
MAW,1955,Ghana,UNCL,0
FRI,1955,Venezuela,SURF,1300
BRS,1955,Venezuela,SURF,3900
SWO,1955,Mexico,LL,0
BLF,1955,EU-France,UNCL,100
BON,1955,EU-France,UNCL,0
CER,1955,EU-France,UNCL,100
LTA,1955,Angola,SURF,4200
SKJ,1955,Angola,BB,0
BON,1955,Angola,SURF,200
FRI,1955,Angola,SURF,5200
MAW,1955,Angola,BB,0
TUN,1955,EU-France,UNCL,400
CER,1955,EU-France,UNCL,200
TUN,1955,Israel,UNCL,100
BON,1955,EU-Bulgaria,UNCL,0
BFT,1956,Algerie,TRAP,56
BON,1956,Algerie,UNCL,0
BON,1956,Argentina,PS,0
SKJ,1956,Brazil,BB,0
BON,1956,Brazil,UNCL,0
BFT,1956,Canada,HARPE,37
BFT,1956,Canada,RRFB,3
SWO,1956,Canada,HARP,2761
BLF,1956,Cuba,UNCL,0
SKJ,1956,Cuba,BB,1503
SSM,1956,Cuba,UNCL,0
SWO,1956,Cuba,LL,0
BFT,1956,EU-France,GILL,329
BFT,1956,EU-France,BB,1453
YFT,1956,EU-France,BB,2100
BFT,1956,EU-Greece,HAND,900
BON,1956,EU-Greece,UNCL,2400
BFT,1956,EU-Italy,PSFB,153
BON,1956,EU-Italy,UNCL,0
ALB,1956,Japan,LLFB,2
ALB,1956,Japan,LLFB,21
BFT,1956,Libya,TRAP,1200
BFT,1956,EU-Malta,UNCL,100
BON,1956,Maroc,SURF,2500
BOP,1956,Maroc,SURF,200
SWO,1956,Maroc,TRAP,0
BET,1956,EU-Portugal,BB,2030
BET,1956,EU-Portugal,BB,739
SKJ,1956,EU-Portugal,BB,657
SKJ,1956,EU-Portugal,BB,345
TUN,1956,EU-Portugal,TRAP,71
TUN,1956,EU-Portugal,SURF,568
ALB,1956,South Africa,UNCL,0
ALB,1956,EU-España,TROL,18648
ALB,1956,EU-España,BB,5500
LTA,1956,EU-España,TRAP,81
BON,1956,EU-España,TRAP,10
BON,1956,EU-España,TRAP,98
FRI,1956,EU-España,TRAP,3
SWO,1956,EU-España,LLSWO,374
SWO,1956,EU-España,LLSWO,393
BFT,1956,Tunisie,TRAP,0
BFT,1956,Türkiye,TRAP,0
BON,1956,Türkiye,UNCL,55500
BFT,1956,USA,PS,0
BFT,1956,USA,TRAP,181
BFT,1956,USA,HARP,10
BFT,1956,USA,HAND,6
BFT,1956,USA,GILL,0
BFT,1956,USA,RRFB,8
BFT,1956,USA,RRFS,2
YFT,1956,USA,TRAW,151
LTA,1956,USA,TRAP,37
LTA,1956,USA,HS,3
BON,1956,USA,PS,1
BON,1956,USA,TROL,9
BON,1956,USA,TRAP,8
BON,1956,USA,TRAW,1
BON,1956,USA,HAND,1
BON,1956,USA,GILL,9
BON,1956,USA,HS,2
SSM,1956,USA,TROL,292
SSM,1956,USA,TRAP,39
SSM,1956,USA,HAND,80
SSM,1956,USA,GILL,2989
SSM,1956,USA,HS,121
SSM,1956,USA,TN,45
KGM,1956,USA,TROL,1130
KGM,1956,USA,TRAP,1
KGM,1956,USA,HAND,367
KGM,1956,USA,GILL,148
KGM,1956,USA,HS,1
KGM,1956,USA,TN,4
SAI,1956,USA,RR,0
BUM,1956,USA,RR,0
WHM,1956,USA,RR,0
SWO,1956,USA,HARP,223
BFT,1956,Yugoslavia Fed,PS,253
LTA,1956,Yugoslavia Fed,PS,13
BON,1956,Yugoslavia Fed,PS,180
LTA,1956,Ghana,UNCL,0
FRI,1956,Ghana,UNCL,0
SWO,1956,Ghana,GILL,0
MAW,1956,Ghana,UNCL,0
FRI,1956,Venezuela,SURF,1100
BRS,1956,Venezuela,SURF,2900
SWO,1956,Mexico,LL,0
BLF,1956,EU-France,UNCL,300
BON,1956,EU-France,UNCL,100
CER,1956,EU-France,UNCL,100
YFT,1956,Angola,BB,3623
LTA,1956,Angola,TRAP,1835
LTA,1956,Angola,SURF,150
LTA,1956,Angola,BBI,34
SKJ,1956,Angola,SURF,1
SKJ,1956,Angola,BBI,149
BON,1956,Angola,TRAP,285
BON,1956,Angola,SURF,194
BON,1956,Angola,BBI,46
FRI,1956,Angola,TRAP,1479
FRI,1956,Angola,SURF,36
SWO,1956,Angola,BB,0
MAW,1956,Angola,BB,0
TUN,1956,EU-France,UNCL,400
CER,1956,EU-France,UNCL,200
TUN,1956,Israel,UNCL,200
BON,1956,EU-Bulgaria,UNCL,0
BFT,1957,Algerie,TRAP,52
BON,1957,Algerie,UNCL,0
BON,1957,Argentina,PS,0
SKJ,1957,Brazil,BB,0
BON,1957,Brazil,UNCL,0
BFT,1957,Canada,HARPE,43
BFT,1957,Canada,RRFB,4
SWO,1957,Canada,HARP,3102
BLF,1957,Cuba,UNCL,0
SKJ,1957,Cuba,BB,1955
SSM,1957,Cuba,UNCL,0
SWO,1957,Cuba,LL,0
BFT,1957,EU-France,GILL,615
BFT,1957,EU-France,BB,1550
YFT,1957,EU-France,BB,6900
ALB,1957,EU-France,TROL,13105
ALB,1957,EU-France,BB,6959
BFT,1957,EU-Greece,HAND,500
BON,1957,EU-Greece,UNCL,4800
BFT,1957,EU-Italy,PSFB,129
BON,1957,EU-Italy,UNCL,0
BFT,1957,Japan,LL,33
BFT,1957,Japan,LL,30
ALB,1957,Japan,LLFB,135
ALB,1957,Japan,LLFB,725
TUN,1957,Japan,LLFB,56
BFT,1957,Libya,TRAP,1200
BFT,1957,EU-Malta,UNCL,100
BON,1957,Maroc,SURF,2500
BOP,1957,Maroc,SURF,100
SWO,1957,Maroc,TRAP,0
BET,1957,EU-Portugal,BB,5308
BET,1957,EU-Portugal,BB,2958
SKJ,1957,EU-Portugal,BB,26
SKJ,1957,EU-Portugal,BB,129
TUN,1957,EU-Portugal,TRAP,334
TUN,1957,EU-Portugal,SURF,735
ALB,1957,South Africa,UNCL,0
ALB,1957,EU-España,TROL,16923
ALB,1957,EU-España,BB,5000
BON,1957,EU-España,SURF,900
FRI,1957,EU-España,SURF,4200
SWO,1957,EU-España,LLSWO,1000
TUN,1957,EU-España,SURF,200
BFT,1957,Tunisie,TRAP,34
BFT,1957,Türkiye,TRAP,800
BON,1957,Türkiye,UNCL,39300
BFT,1957,USA,LL,16
BFT,1957,USA,TRAP,404
BFT,1957,USA,HARP,15
BFT,1957,USA,HAND,5
BFT,1957,USA,RRFB,14
BFT,1957,USA,RRFS,15
YFT,1957,USA,TRAW,302
LTA,1957,USA,TRAP,14
LTA,1957,USA,HAND,1
LTA,1957,USA,GILL,0
BON,1957,USA,TROL,9
BON,1957,USA,TRAP,21
BON,1957,USA,TRAW,0
BON,1957,USA,HAND,4
BON,1957,USA,GILL,6
BON,1957,USA,HS,2
SSM,1957,USA,TROL,160
SSM,1957,USA,TRAP,24
SSM,1957,USA,HAND,58
SSM,1957,USA,GILL,3267
SSM,1957,USA,HS,99
SSM,1957,USA,TN,85
KGM,1957,USA,TROL,1406
KGM,1957,USA,TRAW,67
KGM,1957,USA,HAND,46
KGM,1957,USA,HS,16
KGM,1957,USA,TN,4
SAI,1957,USA,RR,0
BUM,1957,USA,RR,0
WHM,1957,USA,RR,0
SWO,1957,USA,TRAW,1
SWO,1957,USA,HARP,365
BFT,1957,Yugoslavia Fed,PS,382
LTA,1957,Yugoslavia Fed,PS,22
BON,1957,Yugoslavia Fed,PS,27
LTA,1957,Ghana,UNCL,0
FRI,1957,Ghana,UNCL,0
